Year	Month	Anomaly
1870	10	-2.259
1870	11	1.915
1870	12	-7.426
1871	1	-2.808
1871	2	-9.66
1871	3	1.749
1871	4	-1.645
1871	5	-4.513
1871	6	-1.158
1871	7	1.497
1871	8	-0.345
1871	9	-2.81
1871	10	-2.918
1871	11	-0.088
1871	12	-0.078
1872	1	3.475
1872	2	-3.556
1872	3	0.86
1872	4	2.409
1872	5	3.659
1872	6	0.818
1872	7	-1.492
1872	8	1.003
1872	9	-0.723
1872	10	1.383
1872	11	2.354
1872	12	0.969
1873	1	4.034
1873	2	-0.091
1873	3	-0.74
1873	4	-3.561
1873	5	-1.612
1873	6	1.476
1873	7	-0.4
1873	8	-0.57
1873	9	-0.751
1873	10	1.214
1873	11	-1.092
1873	12	1.811
1874	1	4.979
